Date,Local Route,Light Rail,Peak Service,Rapid Route,School,Other
19/04/2020,759,1113,0,1356,0,0
27/04/2021,16970,9766,330,18261,5474,125
20/11/2023,14682,9474,347,16823,4627,43
21/09/2021,2229,959,22,2294,0,26
13/07/2019,4606,5185,0,6327,0,2
08/07/2021,10843,8201,270,14035,0,43
09/09/2023,3776,6678,0,8247,0,20
15/11/2019,18462,12418,370,24410,5472,0
01/08/2023,16569,11912,375,21015,4888,82
14/02/2023,16964,11844,363,20612,5803,80
04/10/2023,11306,9133,332,16024,0,64
30/12/2020,5375,3985,13,6117,0,32
22/04/2022,9307,7546,160,12607,0,50
25/07/2019,19619,12257,432,25284,5845,0
11/10/2021,2778,1205,29,2729,0,20
18/02/2020,20617,12733,485,27552,6853,0
04/11/2020,13690,6768,249,13685,5116,40
23/04/2020,3230,1786,39,3819,0,1
24/10/2020,2428,3154,0,4663,0,12
01/11/2021,9291,4575,106,8821,4650,64
19/06/2021,3205,4629,0,6330,0,18
17/10/2019,19049,12391,417,25990,5640,0
14/01/2023,3478,5057,0,7041,0,15
15/07/2023,3798,5925,0,8036,0,17
01/07/2022,10111,7288,160,12247,1399,45
22/12/2023,10988,8151,104,13556,0,1144
06/12/2019,17380,12626,361,23119,4200,0
01/12/2023,17353,10733,264,19674,5155,81
14/06/2023,15556,10578,355,18604,4687,90
03/06/2020,9018,4463,128,9384,4892,0
24/07/2022,2133,3897,0,5351,0,13
10/05/2023,16416,11133,397,19592,4878,78
23/08/2023,16494,11475,418,20848,4581,87
17/08/2019,5506,6583,0,7922,0,0
31/07/2021,3059,4355,0,6004,0,28
21/11/2022,12993,8862,264,15055,3993,72
11/07/2022,8989,7192,217,12152,0,46
25/01/2020,3481,5494,0,6976,0,0
21/12/2022,10564,7884,197,13303,0,68
06/02/2021,2767,4138,0,5742,0,32
09/08/2022,14080,9091,207,16697,4651,65
08/05/2023,15421,10329,364,18340,5228,49
15/12/2022,12969,9599,215,16001,695,59
14/09/2022,14148,9183,252,16085,4377,78
04/12/2021,2878,4304,0,5796,0,18
